	Rs_depletion	Rs_activity	Rs_median	Rs_depletion_test1	Rs_activity_test1	Rs_median_test1	Rs_depletion_test2	Rs_activity_test2	Rs_median_test2	Rs_depletion_test3	Rs_activity_test3	Rs_median_test3
0	0.7106226784531277	0.32871074665798994	0.9122898425844431	0.6808470947886577	0.3744055421102587	0.8856477415720091	0.5989113824916921	0.3842390076138273	0.8789038023898048	0.7246164355677174	0.28469404985711233	0.9290245982377472
1	0.7595396748339353	0.34968735986004906	0.9219856604365878	0.7110204423241898	0.27430586069089613	0.9083990762038012	0.7545979536752244	0.3418575942083569	0.8998650149495793	0.771537945737425	0.38273707294697035	0.9401487109637543
2	0.7418897639482146	0.3633993443121455	0.9173477258102309	0.7452768748332383	0.3663954485857163	0.9173520973668271	0.7056341826590657	0.3387366554679229	0.8785030097813692	0.7460068174111684	0.37818680890572764	0.9383985589970535
3	0.7219933469243525	0.363576551729435	0.9194888401275998	0.7065293327362294	0.32520376175548593	0.8993288862722806	0.6736274070756829	0.3867957904164801	0.9114713065753888	0.7332957639949621	0.36245040203220463	0.9365414330109896
4	0.7507624933500511	0.3114541877346735	0.9146310651865285	0.7343470758296077	0.33210770483965957	0.9089163020800112	0.69916223641635	0.34874397017454956	0.8911581871291931	0.7545663017688551	0.27743774891130385	0.9310419083401146
5	0.7378880822404773	0.3524797142248721	0.9334526837659076	0.6840058260835334	0.31326571227370353	0.9446953320350914	0.679259230099682	0.3580583220704467	0.919213589171253	0.7607347306952658	0.3693433920269147	0.9330568684860053
6	0.6946420750543708	0.3382539216999132	0.9348238281569683	0.6708630214279155	0.25152497299094156	0.9187879943933752	0.6522790396584831	0.32061042659003536	0.930236219160329	0.7126124074470135	0.3871132417301419	0.9422359274062315
7	0.722939296422263	0.3748714649958359	0.9258333660359216	0.7263297978308857	0.3569667460892987	0.9289888113352528	0.7327383276621857	0.3971790356126832	0.9064732880402826	0.7146888614853704	0.36639602185645825	0.9233055090466094
8	0.7458558193947574	0.40372182278241386	0.9325853879383836	0.7862185660418307	0.4332426823644305	0.93833235935732	0.7351816184249791	0.40355675067140495	0.9199336856444312	0.7260671839973497	0.38496100942881906	0.9424356003816274
9	0.7039522195159905	0.3644539726828805	0.9289945575591796	0.6743819412367201	0.3759134244343009	0.9262794504296485	0.6395878938806661	0.3921334324101782	0.8919735652019701	0.7089743890318624	0.31809785602889057	0.9415282618431045
