	gene_GC_content	distance_operon	distance_operon_perc	operon_downstream_genes	ess_gene_operon	gene_length	gene_expression_min	gene_expression_max	dataset_1	dataset_2
890.0	0.022870855993954862	-0.01317350005246802	0.24579012344214898	-0.029005797515440968	-0.027889334433207794	3.2106684068702065	-0.0031671821665567885	-0.005808944613797917	-0.11279546411017093	-0.32381619793414423
4041.0	0.1612474331802445	-0.05768069713276178	0.23129496154515714	-0.09938169368289827	-0.025934342042989618	0.4935103483554383	-0.021937436901009775	0.012658924558074536	-0.06772908314109875	-0.4013791280131715
184.0	0.04332133980000425	0.154944556224287	0.2598427292131352	0.014469274150735576	0.0007456852569488779	0.22788299671172077	0.04621459001558908	0.019239640901505612	-0.17029967503639656	-0.21392229344843797
3987.0	0.007447415643906411	-0.07863708673592745	0.019934343286601975	0.00991923526321173	0.00045045496305580994	-0.01987859965834385	0.09650395298740021	-0.001190839844076254	-0.2606903470204525	-0.33466525163848254
642.0	0.013226212031530321	0.054378492573962725	-0.21752245035085666	-0.6297881016359184	-0.7300324339248729	-0.7586058106721203	0.022941153316834658	0.008389674805561381	-0.05352446614003832	-0.12538865866050178
924.0	0.10267140055757863	-0.09599391433207193	0.09477140609367118	0.14154084361069355	0.06150123785784223	0.20425894173503384	0.047457495366424414	0.008727197640216088	-0.07513085867864659	0.11451670382838586
2234.0	-0.0001079490408479237	0.022603329243219488	-0.11745437722670933	-0.038061760900801364	-0.008542992412484846	-0.16230139937905885	0.03596866109550299	0.011638815449699155	-0.10588542772145633	-0.13304904846728735
26.0	-0.3640857995765678	0.024191920560358824	0.007795164635411736	-0.36848776699502517	-0.3023951604262884	-1.1051387314119925	0.030454815952604904	0.02273959892221225	-0.06376632534466428	-0.06563371353020167
1084.0	0.059335380282459146	0.006777423691614294	0.030879775190998264	0.0003075760368829344	0.0032836055757658076	0.2277067957028034	0.016138393607781173	0.006409271879748693	-0.06388011411792206	-0.1753882027960982
3988.0	-0.028674554520237847	-0.1876647631814681	-0.13056108646527242	-0.0678770326974212	-0.030642197811898985	-0.46371045498692726	0.02735212131090534	0.00028853464534797326	-0.0371495223378457	-0.28416023465448814
3650.0	0.07489598680921528	0.253384768650905	0.3185223508583794	-0.05200573028778445	0.3304759579579063	0.14146436701615472	0.08852082332275203	0.06637117503680443	-0.10271186762509654	0.2670949258821712
3056.0	1.4497307998607134	0.14333311116798586	0.3266634937766221	0.42583762271467956	0.30766011548971317	0.11559461351846195	0.08600764517901738	0.09761912520594558	-0.11284204175044439	-0.0652250053294109
4258.0	-0.21906161571701505	-0.07163595401086706	-0.03736972791664983	-0.19752310084363806	-0.11030868647817438	-1.1436649555545946	0.028748902082880803	0.014783710793906989	-0.10503263634415773	-0.2694082246538954
177.0	0.08953512577018816	0.09960999465193936	0.023081097627478488	-0.18009583674361052	0.165784156074118	-0.07113103453612248	-0.013601561129142414	0.006964416038481012	-0.008497986701414148	0.44307819500080553
