	gene_GC_content	distance_operon	distance_operon_perc	operon_downstream_genes	ess_gene_operon	gene_length	gene_expression_min	gene_expression_max	dataset_1	dataset_2
890.0	0.05330515377216288	0.025359734518734967	-0.29096929340127164	0.049274374644915075	0.06174844018045629	1.1029324836476775	0.010887962479242508	0.01666053978061679	-0.29066523443774817	-1.4463790174391775
4041.0	0.18184332772238043	0.11103861238975364	-0.27380974705400984	0.16882731132527773	0.057419985123569176	0.43432910726149415	0.0754112451057995	-0.03543115240804125	-0.17453263732513907	-1.792826771792166
184.0	0.053938526583674366	0.06163687403200357	0.14812621913654106	-0.024580066621639696	-0.0016509860280971914	0.09753433650541	-0.155455875931109	-0.05460813798980992	-0.4359671680931752	-0.9779304843357164
3987.0	-0.059990041505613115	-0.11921318992782004	0.15944099608439655	-0.07763152650938243	0.0036981429741349686	-0.0067265869814327195	-0.8918815004405153	-0.010634971105427254	-0.673450063136169	-1.4820889715418513
642.0	0.07949160954934897	-0.10468168138400993	0.25750568326802165	-0.5018697950122427	-0.5754003480890229	-0.5762485412313587	-0.08839700565519495	-0.0312527692876283	-0.14110995618737376	-0.5194673001649359
924.0	0.09456432082625896	-0.14636756430126324	0.14833635301850484	-0.24044629532830203	-0.1361669463996667	0.05929451913360557	-0.15971568768407834	-0.024581886651582723	-0.20660986136627812	0.41989458070408153
2234.0	-0.00036749826216617154	-0.043512690368131476	0.13904389920120552	-0.11426105137530519	-0.07013621773416864	-0.1656370606463112	-0.12687168177360691	-0.03859464454718447	-0.2897916969218805	-0.494182180021353
26.0	-0.3223398194179253	-0.23083929793231775	-0.04043936515177057	-0.4640916294923885	-0.4349307407664609	-0.6987245724267294	-0.11479576272503086	-0.08389613789348668	-0.18067125514321547	-0.22315462600268568
1084.0	0.05485123686134033	-0.013046924876135943	-0.03655584789935498	-0.0005225030225457505	-0.007270073904308186	0.11386225774804319	-0.0584225556825991	-0.02120500002834597	-0.18099365666744585	-0.5963198895067339
3988.0	-0.07934347561165721	-0.07853680538176161	-0.08435415183251666	0.11530792549790835	0.06784342319524207	-0.14599423240501497	-0.4634982118536528	0.001721516072475707	-0.10707803497379055	-0.9282567665379946
3650.0	0.23879638284828705	-0.6405539851801676	-0.5087586997124474	-0.1561207174757302	-0.7316909971413632	0.18153563149879848	-0.3032902558563074	-0.2147675534372418	-0.29000997917674315	0.9157540315960155
3056.0	1.0945313268492174	-0.6198933563926556	0.6191572487246099	-0.723403055832996	-0.6811755326297242	-0.559189046236596	-0.29162654266193044	-0.2701024947015753	-0.3314734976419304	-0.2043716833654875
4258.0	-0.3319685407397514	0.2152642221313913	0.11436569821395572	0.3355476527343743	0.24422918175745154	-0.7034255700813453	-0.10699955912525703	-0.058240570305494	-0.2903843475397302	-0.9740143506717758
177.0	-0.09990133663282608	-0.19175488744257732	-0.027323679949141186	-0.068281741140188	0.06862862132900435	-0.0620441258570538	0.0662034792474308	-0.046885140869297945	-0.024431711766565674	1.4558283550026467
3178.0	-0.5880059108065296	0.8044517892562678	-0.6278349986576413	1.1942757708861693	0.9611401512320596	-0.5718906708934733	0.2137978769267855	0.04916128045097974	-0.1182105768832223	-0.4872198250916954
