,1DCNN
wang_median-sub_guide,2.928
rousset_E18_median-sub_guide,2.31
rousset_E75_median-sub_guide,2.878
wang_rousset_E18_median-sub_guide,2.772
wang_rousset_E75_median-sub_guide,3.066
wang_rousset_E18_rousset_E75_median-sub_guide,3.046
